Country,IndR_nc,Flag,Sawn_nc,Flag,FuelW,Flag,IndR_c,Flag,Sawn_c,Flag,Ply_Ven,Flag,PartB,Flag,FibreB,Flag,MechP,Flag,ChemP,Flag,OthP,Flag,WasteP,Flag,NewsP,Flag,PWP,Flag,OthP,Flag
Algeria,0.05,U,0.15,U,0.15,U,0.05,U,0.15,U,0.15,U,0.15,U,0.15,U,0.05,U,0.05,U,0.05,U,0.05,U,0.14,U,0.18,U,0.19,U
Angola,0.05,U,0.3,U,0.2,C,0.05,U,0.3,U,0.13,U,0.1,U,0.2,C,0,U,0,U,0,U,0.3,U,0,U,0,U,0.19,U
Benin,0.05,C,0.1,C,0.05,C,0.05,C,0.1,C,0.2,C,0.1,C,0.1,C,0.05,C,0.05,C,0.05,C,0.05,C,0,C,0.07,C,0.11,U
Botswana,0,C,0,C,0,C,0,C,0,C,0.1,C,0.15,C,0.1,C,0,C,0,C,0,C,0,C,0,C,0.05,U,0.04,U
Burkina Faso,0.05,C,0.1,C,0.05,C,0.05,C,0.1,C,0.2,C,0.1,C,0.1,C,0.05,C,0.05,C,0.05,C,0.05,C,0,C,0.07,C,0.11,U
Burundi,0,C,0.1,C,0,C,0,C,0.1,C,0.25,C,0.25,C,0.25,C,0,C,0,C,0,C,0,C,0.1,C,0.11,U,0.16,U
Cameroon,0.3,C,0.3,C,0.3,C,0.3,C,0.3,C,0.3,C,0.3,C,0.3,C,0.1,C,0.1,C,0.1,C,0.1,C,0.07,U,0.09,U,0.12,U
Cape Verde,0.05,C,0.05,C,0.14,U,0.05,C,0.05,C,0.16,U,0.1,C,0.1,C,0,C,0,C,0,C,0,C,0,C,0,C,0.05,U
Central African Republic,0.3,C,0.3,C,0.3,C,0.3,C,0.3,C,0.3,C,0.3,C,0.3,C,0.1,C,0.1,C,0.1,C,0.1,C,0,C,0.09,U,0.12,U
Chad,0.3,C,0.3,C,0.3,C,0.3,C,0.3,C,0.3,C,0.3,C,0.3,C,0.1,C,0.1,C,0.1,C,0.1,C,0,C,0.09,U,0.12,U
"Congo, Republic of",0.3,C,0.3,C,0.3,C,0.3,C,0.3,C,0.3,C,0.3,C,0.3,C,0.1,C,0.1,C,0.1,C,0.1,C,0,C,0.09,U,0.12,U
Côte d'Ivoire,0.05,C,0.1,C,0.05,C,0.05,C,0.1,C,0.2,U,0.1,C,0.1,C,0.05,C,0.05,C,0.05,C,0.05,C,0,C,0.07,C,0.11,U
Djibouti,0.26,C,0.13,U,0.01,C,0.26,C,0.13,U,0.13,U,0.26,C,0.2,C,0.26,C,0.26,C,0.26,C,0.2,C,0.26,C,0.25,U,0.26,C
Egypt,0.18,U,0,C,0.03,U,0.18,U,0,C,0.1,C,0.1,C,0.1,C,0.02,C,0.02,C,0.02,C,0.02,C,0.02,C,0.1,C,0.1,U
Equatorial Guinea,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X
Ethiopia,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X
Gabon,0.3,C,0.3,C,0.3,C,0.3,C,0.3,C,0.3,C,0.3,C,0.3,C,0.1,C,0.1,C,0.1,C,0.1,C,0,C,0.09,U,0.11,U
Gambia,0.05,U,0.1,U,0.05,U,0.05,U,0.1,U,0.2,U,0.1,C,0.1,C,0.05,U,0.05,U,0.05,U,0.05,U,0,C,0.07,U,0.11,U
Ghana,0.05,U,0.1,U,0.05,U,0.05,U,0.1,U,0.2,C,0.1,U,0.1,U,0.05,U,0.05,U,0.05,U,0.05,U,0,C,0.07,U,0.11,U
Guinea,0.05,C,0.1,C,0.05,C,0.05,C,0.1,C,0.2,C,0.1,C,0.1,C,0.05,C,0.05,C,0.05,C,0.05,C,0,C,0.07,U,0.11,U
Guinea-Bissau,0.05,C,0.1,C,0.05,C,0.05,C,0.1,C,0.2,U,0.1,C,0.1,C,0.05,C,0.05,C,0.05,C,0.05,C,0,C,0.07,C,0.11,U
Kenya,0,C,0.1,C,0,C,0,C,0.1,C,0,X,0,X,0,X,0,C,0,C,0,C,0,C,0.1,C,0.11,U,0.15,U
Lesotho,0,C,0,C,0,C,0,C,0,C,0.1,C,0.15,C,0.1,C,0,C,0,C,0,C,0,C,0,C,0.05,U,0.04,U
Liberia,0.05,C,0.1,C,0.05,C,0.05,C,0.1,C,0.2,C,0.1,U,0.1,U,0.05,C,0.05,C,0.05,C,0.05,C,0,U,0.07,U,0.11,U
Libyan Arab Jamahiriya,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X
Madagascar,0.05,C,0.1,C,0.18,U,0.05,C,0.08,U,0.11,U,0.1,U,0.1,U,0.08,U,0.1,U,0.1,U,0.09,U,0.05,C,0.07,U,0.12,U
Malawi,0.1,C,0.1,C,0.1,C,0.1,C,0.1,C,0.25,C,0.25,C,0.25,C,0.1,C,0.1,C,0.1,C,0,C,0.1,C,0.11,C,0.14,U
Mali,0.05,C,0.1,C,0.05,C,0.05,C,0.1,C,0.2,U,0.1,C,0.1,C,0.05,C,0.05,C,0.05,C,0.05,C,0,C,0.07,C,0.11,U
Mauritania,0.05,U,0.13,U,0.05,U,0.05,U,0.13,U,0.13,U,0.09,U,0.13,U,0.05,U,0.05,U,0.05,C,0.05,U,0,C,0.05,U,0.11,U
Mauritius,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0.01,U
Morocco,0.03,C,0.09,U,0.03,C,0.03,C,0.09,U,0.18,U,0.18,U,0.18,U,0.03,C,0.03,C,0.03,C,0.03,C,0.09,U,0.16,U,0.19,U
Mozambique,0.03,C,0.08,C,0.03,C,0.03,C,0.08,C,0.08,C,0.08,C,0.08,C,0.08,C,0.08,C,0.08,C,0.08,C,0.03,C,0.02,U,0.09,U
Niger,0.05,C,0.1,C,0.05,C,0.05,C,0.1,C,0.2,U,0.1,C,0.1,C,0.05,C,0.05,C,0.05,C,0.05,C,0,C,0.07,C,0.11,U
Nigeria,0.05,C,0.1,C,0.05,C,0.05,C,0.1,U,0.2,C,0.1,U,0.1,U,0.05,C,0.05,C,0.05,C,0.05,C,0,C,0.07,U,0.12,U
Réunion,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X
Rwanda,0,C,0.1,C,0,C,0,C,0.1,C,0.25,C,0.25,C,0.25,C,0,C,0,C,0,C,0,C,0.1,C,0.11,U,0.16,U
Sao Tome and Principe,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X
Senegal,0.05,C,0.1,C,0.05,C,0.05,C,0.1,C,0.2,U,0.1,C,0.1,C,0.05,C,0.05,C,0.05,C,0.05,C,0,C,0.07,C,0.11,U
Sierra Leone,0.05,U,0.1,C,0.05,U,0.05,U,0.1,U,0.2,C,0.1,U,0.1,C,0.05,C,0.05,C,0.05,C,0.05,C,0,U,0.07,U,0.11,U
Somalia,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X
South Africa,0,C,0,C,0,C,0,C,0,C,0.1,C,0.15,C,0.1,C,0,C,0,C,0,C,0,C,0,C,0.05,U,0.04,U
Sudan,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X
Swaziland,0,C,0,C,0,C,0,C,0,C,0.1,C,0.15,C,0.1,C,0,C,0,C,0,C,0,C,0,C,0.05,U,0.04,U
"Tanzania, United Rep of",0,C,0.1,C,0,C,0,C,0.1,C,0.25,C,0.25,C,0.25,C,0,C,0,C,0,C,0,C,0.1,C,0.11,U,0.16,U
