country,forest_growing_stock (mio_m3),Flag,"annual_forest_stock_growth, without_harvest",Flag,forest_area,annual_area_growth
Algeria,87,A,0.098,,1949,-0.001
Angola,2544,A,-0.005,,66607,-0.008
Benin,191,A,0.024,,3135,-0.015
Botswana,1579,A,-0.007,,15255,-0.008
Burkina Faso,141,A,0.077,,6216,-0.008
Burundi,33,A,0.171,,280,0.000
Cameroon,5675,A,0.000,,20340,-0.003
Cape Verde,7,A,0.039,,46,0.007
Central African Republic,3725,A,0.000,,22303,-0.001
Chad,79,A,0.079,,4313,-0.025
"Congo, Republic of",4301,A,0.000,,21946,-0.001
Côte d'Ivoire,131,A,0.051,,2837,-0.036
Djibouti,1,O,0.701,,6,0.007
Egypt,5,A,0.813,,45,-0.015
Equatorial Guinea,404,A,0.001,,2448,-0.003
Ethiopia,2177,A,0.050,,17069,-0.004
Gabon,5530,A,0.000,,23531,-0.001
Gambia,8,A,0.085,,243,-0.022
Ghana,394,A,0.137,,7986,0.003
Guinea,479,A,0.024,,6189,-0.006
Guinea-Bissau,60,A,0.049,,1980,-0.004
Kenya,773,A,0.044,,3611,0.005
Lesotho,2,A,0.464,,35,0.000
Liberia,1204,A,0.005,,7617,-0.004
Libyan Arab Jamahiriya,8,A,0.134,,217,0.000
Madagascar,2126,A,0.007,,12430,-0.001
Malawi,118,A,0.046,,2242,-0.018
Mali,566,A,0.014,,13296,0.000
Mauritania,9,A,0.235,,313,-0.017
Mauritius,3,A,-0.002,,38,0.002
Morocco,153,A,0.052,,5742,0.002
Mozambique,1339,A,0.010,,36744,-0.006
Niger,11,A,0.484,,1080,-0.011
Nigeria,2166,A,0.031,,21627,-0.007
Réunion,19,A,0.012,,98,0.005
Rwanda,29,A,0.184,,276,0.004
Sao Tome and Principe,6,A,0.013,,52,-0.012
Senegal,300,A,0.019,,8068,-0.005
Sierra Leone,101,A,0.055,,2535,-0.008
Somalia,299,A,0.042,,5980,-0.012
South Africa,898,A,0.032,,17050,-0.002
Sudan,367,A,0.040,,18360,-0.009
Swaziland,33,A,0.129,,498,0.002
"Tanzania, United Rep of",3077,A,0.000,,45771,-0.010
Togo,96,A,0.049,,1209,-0.002
Tunisia,22,A,0.140,,703,0.002
Uganda,175,A,0.197,,2338,-0.017
"Congo, Dem Republic of",30782,A,-0.005,,126155,-0.009
Zambia,2963,A,0.006,,44814,-0.004
Zimbabwe,602,A,-0.004,,17445,-0.003
Bahamas,16,A,0.004,,510,0.000
Barbados,1,G,0.000,,6,0.000
Belize,207,A,-0.008,,1277,-0.009
Canada,45108,A,0.004,,346928,0.000
Saint Lucia,7,A,0.013,,21,0.000
Costa Rica,795,A,0.012,,3035,0.005
Cuba,292,A,0.011,,3242,0.004
Dominica,11,G,0.000,,48,0.000
Dominican Republic,193,A,0.010,,2144,0.004
El Salvador,110,A,0.040,,584,-0.008
Guatemala,500,A,0.043,,3528,-0.003
Haiti,23,A,0.092,,347,-0.009
Honduras,1068,A,0.007,,6359,-0.003
Jamaica,64,A,0.013,,597,0.007
Martinique,15,A,0.005,,52,0.004
Mexico,3732,A,0.012,,65692,-0.002
Netherlands Antilles,1,O,0.000,,1,0.000
Nicaragua,505,A,-0.013,,3408,-0.027
Panama,1048,A,-0.001,,4214,-0.003
Saint Vincent/Grenadines,5,A,0.002,,29,0.000
Trinidad and Tobago,27,A,0.007,,228,-0.002
United States of America,41269,A,0.013,,309795,0.000
Argentina,3019,A,0.009,,28573,-0.004
Bolivia,3925,A,-0.004,,50834,-0.005
Brazil,120358,A,0.001,,496620,-0.003
Chile,4494,A,0.023,,18211,0.007
Colombia,14830,A,-0.003,,59142,-0.003
Ecuador,2427,A,-0.002,,12498,-0.005
French Guiana,2641,A,0.000,,8003,0.000
Guyana,7068,A,0.000,,18415,0.000
Paraguay,1039,A,-0.003,,16102,-0.016
Peru,11525,A,-0.001,,72330,-0.002
Suriname,5651,A,-0.001,,15196,-0.001
Uruguay,222,A,0.070,,2031,0.011
"Venezuela, Boliv Rep of",10254,A,-0.001,,46231,-0.002
Afghanistan,155,G,0.000,,1208,0.000
Bahrain,1,O,0.000,,1,0.031
Bangladesh,92,A,0.223,,1883,0.000
Bhutan,943,A,0.007,,2725,0.001
Brunei Darussalam,72,A,0.002,,380,0.000
Cambodia,847,A,-0.008,,8068,-0.018
China,19191,A,0.042,,219978,0.009
Cyprus,12,A,0.017,,173,0.000
Maldives,1,A,0.184,,1,0.000
